class_id,class_name,support,roc_auc,pr_auc,f1,precision,recall
0,1139490,0,,,0.0,0.0,0.0
1,1192948,1,1.0,1.0,0.6666666666666666,0.5,1.0
2,1194042,1,1.0,1.0,1.0,1.0,1.0
3,126247,1,1.0,1.0,0.6666666666666666,0.5,1.0
4,1346504,1,1.0,1.0,0.3333333333333333,0.2,1.0
5,134933,1,1.0,1.0,0.4,0.25,1.0
6,135045,2,0.9998248993171073,0.75,0.4,0.3333333333333333,0.5
7,1462711,1,0.9996498599439776,0.3333333333333333,0.0,0.0,0.0
8,1462737,1,1.0,1.0,0.3333333333333333,0.2,1.0
9,1564122,1,0.9998249299719888,0.5,0.06451612903225806,0.03333333333333333,1.0
10,21038,0,,,0.0,0.0,0.0
11,21116,0,,,0.0,0.0,0.0
12,21211,15,0.9992394992394993,0.8822905085200167,0.7692307692307693,0.9090909090909091,0.6666666666666666
13,22333,9,0.9998246844319775,0.9291666666666666,0.8235294117647058,0.875,0.7777777777777778
14,22973,11,0.9884091706259367,0.7738284924359355,0.6153846153846154,0.5333333333333333,0.7272727272727273
15,22976,9,0.9991429016674459,0.5500881834215168,0.6363636363636364,0.5384615384615384,0.7777777777777778
16,24272,1,0.9973739495798319,0.0625,0.0,0.0,0.0
17,24292,1,1.0,1.0,1.0,1.0,1.0
18,24322,3,0.9999416228838295,0.9166666666666666,0.8571428571428571,0.75,1.0
19,41663,22,0.9313908723502818,0.38576019614943763,0.4,0.35714285714285715,0.45454545454545453
20,41778,0,,,0.0,0.0,0.0
21,41970,3,0.8220665499124343,0.6669944280563749,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,42007,4,0.9950516727973375,0.19874999999999998,0.20689655172413793,0.12,0.75
23,42087,0,,,0.0,0.0,0.0
24,42113,0,,,0.0,0.0,0.0
25,46010,1,0.9963235294117647,0.045454545454545456,0.0,0.0,0.0
26,47067,0,,,0.0,0.0,0.0
27,476537,0,,,0.0,0.0,0.0
28,476538,1,0.9998249299719888,0.5,0.5,0.3333333333333333,1.0
29,48124,4,0.9991679803818533,0.7329545454545454,0.6666666666666666,0.6,0.75
30,50186,6,0.9987442322294259,0.422039072039072,0.35294117647058826,0.2727272727272727,0.5
31,517119,12,0.9982605390867099,0.800669569725831,0.625,0.5,0.8333333333333334
32,523060,1,1.0,1.0,1.0,1.0,1.0
33,528041,0,,,0.0,0.0,0.0
34,52884,7,0.9796955585599119,0.4432487489707986,0.4,0.3076923076923077,0.5714285714285714
35,548639,1,1.0,1.0,0.3333333333333333,0.2,1.0
36,555086,5,0.9999649614576034,0.9666666666666666,0.8333333333333334,0.7142857142857143,1.0
37,555142,1,0.5073529411764706,0.00035523978685612787,0.0,0.0,0.0
38,566513,5,0.9982480728801681,0.7335164835164836,0.6666666666666666,0.75,0.6
39,64862,0,,,0.0,0.0,0.0
40,65336,1,1.0,1.0,0.4,0.25,1.0
41,65344,3,0.943549328663164,0.6676975945017182,0.6666666666666666,0.6666666666666666,0.6666666666666666
42,65349,3,0.9998832457676591,0.8666666666666667,0.6,0.42857142857142855,1.0
43,65373,6,0.9998539804917937,0.8968253968253967,0.7692307692307693,0.7142857142857143,0.8333333333333334
44,65419,1,1.0,1.0,0.5,0.3333333333333333,1.0
45,65448,16,0.9996379673512376,0.8371733814216399,0.8275862068965517,0.9230769230769231,0.75
46,65547,1,0.9994747899159664,0.25,0.4,0.25,1.0
47,65962,4,1.0,1.0,0.6666666666666666,0.5,1.0
48,66016,0,,,0.0,0.0,0.0
49,66531,0,,,0.0,0.0,0.0
50,66578,0,,,0.0,0.0,0.0
51,66893,1,1.0,1.0,1.0,1.0,1.0
52,67082,0,,,0.0,0.0,0.0
53,67252,3,0.9666666666666667,0.6684088269454123,0.8,1.0,0.6666666666666666
54,714022,1,1.0,1.0,0.5,0.3333333333333333,1.0
55,715170,3,1.0,1.0,1.0,1.0,1.0
56,787625,1,0.9861694677871149,0.0125,0.0,0.0,0.0
57,81930,0,,,0.0,0.0,0.0
58,868458,1,1.0,1.0,1.0,1.0,1.0
59,963335,1,1.0,1.0,0.5,0.3333333333333333,1.0
60,amakin1,19,0.9795352448560812,0.36401720382637565,0.25,0.20689655172413793,0.3157894736842105
61,amekes,82,0.9812016234174062,0.8557469054013852,0.7590361445783133,0.75,0.7682926829268293
62,ampkin1,6,0.9191343963553531,0.23330272424852497,0.2857142857142857,0.25,0.3333333333333333
63,anhing,18,0.9685006340844795,0.5563698125606839,0.5294117647058824,0.5625,0.5
64,babwar,33,0.9872812633376014,0.8308531153023525,0.7368421052631579,0.6511627906976745,0.8484848484848485
65,bafibi1,5,0.9989838822704975,0.6946778711484594,0.3333333333333333,0.21052631578947367,0.8
66,banana,138,0.9692467667511535,0.7120471836910632,0.625,0.5303030303030303,0.7608695652173914
67,baymac,35,0.9669551652996528,0.4727181980772152,0.5333333333333333,0.4,0.8
68,bbwduc,93,0.9755692036888226,0.7969042566814266,0.7135135135135136,0.717391304347826,0.7096774193548387
69,bicwre1,22,0.965831216753726,0.4619832448950424,0.4827586206896552,0.3888888888888889,0.6363636363636364
70,bkcdon,44,0.9666848410012989,0.7115739025160652,0.6666666666666666,0.6521739130434783,0.6818181818181818
